date,ticker,timing
2001-07-19,MSFT,AMC
2001-10-17,JPM,BMO
2001-10-18,MSFT,AMC
2002-01-16,AAPL,AMC
2002-01-16,JPM,BMO
2002-01-17,MSFT,AMC
2002-01-22,AMZN,BMO
2002-02-14,NVDA,AMC
2002-04-17,JPM,BMO
2002-04-17,AAPL,AMC
2002-04-18,MSFT,AMC
2002-04-23,AMZN,AMC
2002-05-22,NVDA,AMC
2002-07-16,AAPL,AMC
2002-07-17,JPM,BMO
2002-07-18,MSFT,AMC
2002-07-23,AMZN,AMC
2002-08-15,NVDA,AMC
2002-10-16,AAPL,AMC
2002-10-16,JPM,BMO
2002-10-17,MSFT,AMC
2002-10-24,AMZN,AMC
2002-11-07,NVDA,AMC
2003-01-15,AAPL,AMC
2003-01-16,MSFT,AMC
2003-01-22,JPM,BMO
2003-01-23,AMZN,AMC
2003-02-13,NVDA,AMC
2003-04-15,MSFT,AMC
2003-04-16,JPM,BMO
2003-04-16,AAPL,AMC
2003-04-24,AMZN,AMC
2003-05-08,NVDA,AMC
2003-07-16,AAPL,AMC
2003-07-16,JPM,BMO
2003-07-17,MSFT,AMC
2003-07-22,AMZN,AMC
2003-08-07,NVDA,AMC
2003-10-15,AAPL,AMC
2003-10-21,AMZN,AMC
2003-10-22,JPM,BMO
2003-10-23,MSFT,AMC
2003-11-06,NVDA,AMC
2004-01-14,AAPL,AMC
2004-01-21,JPM,BMO
2004-01-22,MSFT,AMC
2004-01-27,AMZN,AMC
2004-02-12,NVDA,AMC
2004-04-14,AAPL,AMC
2004-04-21,JPM,BMO
2004-04-22,AMZN,AMC
2004-04-22,MSFT,AMC
2004-05-06,NVDA,AMC
2004-07-14,AAPL,BMO
2004-07-21,JPM,BMO
2004-07-22,AMZN,AMC
2004-07-22,MSFT,AMC
2004-08-05,NVDA,AMC
2004-10-13,AAPL,AMC
2004-10-20,JPM,BMO
2004-10-21,MSFT,AMC
2004-10-21,AMZN,AMC
2004-11-04,NVDA,AMC
2005-01-12,AAPL,AMC
2005-01-19,JPM,BMO
2005-01-27,MSFT,AMC
2005-02-02,AMZN,AMC
2005-02-17,NVDA,AMC
2005-04-13,AAPL,AMC
2005-04-20,JPM,BMO
2005-04-26,AMZN,AMC
2005-04-28,MSFT,AMC
2005-05-12,NVDA,AMC
2005-07-13,AAPL,AMC
2005-07-20,JPM,BMO
2005-07-21,MSFT,AMC
2005-07-26,AMZN,AMC
2005-08-11,NVDA,AMC
2005-10-11,AAPL,AMC
2005-10-19,JPM,BMO
2005-10-25,AMZN,AMC
2005-10-27,MSFT,AMC
2005-11-09,NVDA,AMC
2006-01-18,AAPL,AMC
2006-01-18,JPM,BMO
2006-01-26,MSFT,AMC
2006-02-02,AMZN,AMC
2006-02-16,NVDA,AMC
2006-04-19,JPM,BMO
2006-04-19,AAPL,AMC
2006-04-25,AMZN,AMC
2006-04-27,MSFT,AMC
2006-05-11,NVDA,AMC
2006-07-19,JPM,BMO
2006-07-19,AAPL,AMC
2006-07-20,MSFT,AMC
2006-07-25,AMZN,AMC
2006-10-18,JPM,BMO
2006-10-18,AAPL,AMC
2006-10-24,AMZN,AMC
2006-10-26,MSFT,AMC
2006-11-09,NVDA,AMC
2007-01-17,JPM,BMO
2007-01-17,AAPL,AMC
2007-01-25,MSFT,AMC
2007-02-01,AMZN,AMC
2007-02-13,NVDA,AMC
2007-04-18,JPM,BMO
2007-04-24,AMZN,AMC
2007-04-25,AAPL,AMC
2007-04-26,MSFT,AMC
2007-05-10,NVDA,AMC
2007-07-18,JPM,BMO
2007-07-19,MSFT,AMC
2007-07-24,AMZN,AMC
2007-07-25,AAPL,AMC
2007-08-09,NVDA,AMC
2007-10-17,JPM,BMO
2007-10-22,AAPL,AMC
2007-10-23,AMZN,AMC
2007-10-25,MSFT,AMC
2007-11-08,NVDA,AMC
2008-01-16,JPM,BMO
2008-01-22,AAPL,AMC
2008-01-24,MSFT,AMC
2008-01-30,AMZN,AMC
2008-02-13,NVDA,AMC
2008-04-16,JPM,BMO
2008-04-23,AAPL,AMC
2008-04-23,AMZN,AMC
2008-04-24,MSFT,AMC
2008-05-08,NVDA,AMC
2008-07-17,MSFT,AMC
2008-07-17,JPM,BMO
2008-07-21,AAPL,AMC
2008-07-23,AMZN,AMC
2008-08-12,NVDA,AMC
2008-10-15,JPM,BMO
2008-10-21,AAPL,AMC
2008-10-22,AMZN,AMC
2008-10-23,MSFT,AMC
2008-11-06,NVDA,AMC
2009-01-15,JPM,BMO
2009-01-21,AAPL,AMC
2009-01-22,MSFT,BMO
2009-01-29,AMZN,AMC
2009-02-10,NVDA,AMC
2009-04-16,JPM,BMO
2009-04-22,AAPL,AMC
2009-04-23,AMZN,AMC
2009-04-23,MSFT,AMC
2009-05-07,NVDA,AMC
2009-07-16,JPM,BMO
2009-07-21,AAPL,AMC
2009-07-23,AMZN,AMC
2009-08-06,NVDA,AMC
2009-10-14,JPM,BMO
2009-10-22,AMZN,AMC
2009-11-05,NVDA,AMC
2009-12-03,AVGO,AMC
2010-01-15,JPM,BMO
2010-02-17,NVDA,AMC
2010-02-24,AVGO,AMC
2010-04-14,JPM,BMO
2010-04-18,AMZN,AMC
2010-04-19,MSFT,BMO
2010-04-19,AAPL,BMO
2010-04-20,AAPL,AMC
2010-04-22,AMZN,AMC
2010-04-22,MSFT,AMC
2010-05-05,GOOG,AMC
2010-05-07,BRK-B,AMC
2010-05-13,NVDA,AMC
2010-05-26,AVGO,AMC
2010-07-15,JPM,BMO
2010-07-15,GOOG,AMC
2010-07-20,AAPL,AMC
2010-07-22,MSFT,AMC
2010-07-22,AMZN,AMC
2010-08-06,BRK-B,AMC
2010-08-12,NVDA,AMC
2010-08-24,AVGO,AMC
2010-09-01,AVGO,AMC
2010-10-13,JPM,BMO
2010-10-14,GOOG,AMC
2010-10-18,AAPL,AMC
2010-10-21,AMZN,AMC
2010-10-28,MSFT,AMC
2010-11-05,BRK-B,AMC
2010-11-09,TSLA,AMC
2010-11-11,NVDA,AMC
2010-12-02,AVGO,AMC
2011-01-14,JPM,BMO
2011-01-18,AAPL,AMC
2011-01-20,GOOG,AMC
2011-01-27,AMZN,AMC
2011-01-27,MSFT,AMC
2011-02-15,TSLA,AMC
2011-02-16,NVDA,AMC
2011-02-23,AVGO,AMC
2011-02-26,BRK-B,BMO
2011-04-13,JPM,BMO
2011-04-14,GOOG,AMC
2011-04-20,AAPL,AMC
2011-04-26,AMZN,AMC
2011-04-28,MSFT,AMC
2011-05-04,TSLA,AMC
2011-05-06,BRK-B,AMC
2011-05-12,NVDA,AMC
2011-05-24,AVGO,AMC
2011-07-14,JPM,BMO
2011-07-14,GOOG,AMC
2011-07-19,AAPL,AMC
2011-07-21,MSFT,AMC
2011-07-26,AMZN,AMC
2011-08-03,TSLA,AMC
2011-08-05,BRK-B,AMC
2011-08-11,NVDA,AMC
2011-08-23,AVGO,AMC
2011-10-13,GOOG,AMC
2011-10-13,JPM,BMO
2011-10-18,AAPL,AMC
2011-10-20,MSFT,AMC
2011-10-25,AMZN,AMC
2011-11-02,TSLA,AMC
2011-11-04,BRK-B,AMC
2011-11-10,NVDA,AMC
2011-12-01,AVGO,AMC
2012-01-13,JPM,BMO
2012-01-19,MSFT,AMC
2012-01-19,GOOG,AMC
2012-01-24,AAPL,AMC
2012-01-31,AMZN,AMC
2012-02-15,NVDA,AMC
2012-02-15,TSLA,AMC
2012-02-22,AVGO,AMC
2012-02-26,BRK-B,BMO
2012-04-12,GOOG,AMC
2012-04-13,JPM,BMO
2012-04-19,MSFT,AMC
2012-04-24,AAPL,AMC
2012-04-26,AMZN,AMC
2012-05-04,BRK-B,AMC
2012-05-09,TSLA,AMC
2012-05-11,NVDA,BMO
2012-05-22,AVGO,AMC
2012-07-13,JPM,BMO
2012-07-19,MSFT,AMC
2012-07-19,GOOG,AMC
2012-07-24,AAPL,AMC
2012-07-25,TSLA,AMC
2012-07-26,AMZN,AMC
2012-07-26,META,AMC
2012-08-03,BRK-B,AMC
2012-08-09,NVDA,AMC
2012-08-16,AVGO,AMC
2012-10-12,JPM,BMO
2012-10-18,GOOG,AMC
2012-10-18,MSFT,AMC
2012-10-23,META,AMC
2012-10-25,AAPL,AMC
2012-10-25,AMZN,AMC
2012-11-02,BRK-B,AMC
2012-11-05,TSLA,BMO
2012-11-08,NVDA,AMC
2012-11-29,AVGO,AMC
2013-01-16,JPM,BMO
2013-01-22,GOOG,AMC
2013-01-23,AAPL,AMC
2013-01-24,MSFT,AMC
2013-01-29,AMZN,AMC
2013-01-30,META,AMC
2013-02-13,NVDA,AMC
2013-02-20,TSLA,AMC
2013-02-26,AVGO,AMC
2013-03-01,BRK-B,AMC
2013-04-12,JPM,BMO
2013-04-18,GOOG,AMC
2013-04-18,MSFT,AMC
2013-04-23,AAPL,AMC
2013-04-25,AMZN,AMC
2013-05-01,META,AMC
2013-05-03,BRK-B,AMC
2013-05-08,TSLA,AMC
2013-05-09,NVDA,AMC
2013-05-29,AVGO,AMC
2013-07-12,JPM,BMO
2013-07-18,MSFT,AMC
2013-07-18,GOOG,AMC
2013-07-23,AAPL,AMC
2013-07-24,META,AMC
2013-07-25,AMZN,AMC
2013-08-02,BRK-B,AMC
2013-08-07,TSLA,AMC
2013-08-08,NVDA,AMC
2013-08-27,AVGO,AMC
2013-10-11,JPM,BMO
2013-10-17,GOOG,AMC
2013-10-24,AMZN,AMC
2013-10-24,MSFT,AMC
2013-10-28,AAPL,AMC
2013-10-30,META,AMC
2013-11-01,BRK-B,AMC
2013-11-05,TSLA,AMC
2013-11-07,NVDA,AMC
2013-12-04,AVGO,AMC
2014-01-14,JPM,BMO
2014-01-23,MSFT,AMC
2014-01-27,AAPL,AMC
2014-01-29,META,AMC
2014-01-30,GOOG,AMC
2014-01-30,AMZN,AMC
2014-02-12,NVDA,AMC
2014-02-19,TSLA,AMC
2014-02-25,AVGO,AMC
2014-03-01,BRK-B,BMO
2014-04-11,JPM,BMO
2014-04-16,GOOG,AMC
2014-04-23,META,AMC
2014-04-23,AAPL,AMC
2014-04-24,MSFT,AMC
2014-04-24,AMZN,AMC
2014-05-02,BRK-B,AMC
2014-05-07,TSLA,AMC
2014-05-08,NVDA,AMC
2014-05-29,AVGO,AMC
2014-07-15,JPM,BMO
2014-07-17,GOOG,AMC
2014-07-22,MSFT,AMC
2014-07-22,AAPL,AMC
2014-07-23,META,AMC
2014-07-24,AMZN,AMC
2014-07-31,TSLA,AMC
2014-08-01,BRK-B,AMC
2014-08-07,NVDA,AMC
2014-08-28,AVGO,AMC
2014-10-14,JPM,BMO
2014-10-16,GOOG,AMC
2014-10-20,AAPL,AMC
2014-10-23,AMZN,AMC
2014-10-23,MSFT,AMC
2014-10-28,META,AMC
2014-11-05,TSLA,AMC
2014-11-06,NVDA,AMC
2014-11-07,BRK-B,AMC
2014-12-03,AVGO,AMC
2015-01-14,JPM,BMO
2015-01-26,MSFT,AMC
2015-01-27,AAPL,AMC
2015-01-28,META,AMC
2015-01-29,AMZN,AMC
2015-01-29,GOOG,AMC
2015-02-11,NVDA,AMC
2015-02-11,TSLA,AMC
2015-02-25,AVGO,AMC
2015-02-28,BRK-B,AMC
2015-04-14,JPM,BMO
2015-04-22,META,AMC
2015-04-23,GOOG,AMC
2015-04-23,AMZN,AMC
2015-04-23,MSFT,AMC
2015-04-27,AAPL,AMC
2015-05-01,BRK-B,AMC
2015-05-06,TSLA,AMC
2015-05-07,NVDA,AMC
2015-05-28,AVGO,BMO
2015-07-14,JPM,BMO
2015-07-16,GOOG,AMC
2015-07-21,AAPL,AMC
2015-07-21,MSFT,AMC
2015-07-23,AMZN,AMC
2015-07-29,META,AMC
2015-08-05,TSLA,AMC
2015-08-06,NVDA,AMC
2015-08-07,BRK-B,AMC
2015-08-26,AVGO,AMC
2015-10-13,JPM,AMC
2015-10-22,GOOG,AMC
2015-10-22,AMZN,AMC
2015-10-22,MSFT,AMC
2015-10-27,AAPL,AMC
2015-11-03,TSLA,AMC
2015-11-04,META,AMC
2015-11-05,NVDA,AMC
2015-11-06,BRK-B,AMC
2015-12-02,AVGO,AMC
2016-01-14,JPM,BMO
2016-01-26,AAPL,AMC
2016-01-27,META,AMC
2016-01-28,MSFT,AMC
2016-01-28,AMZN,AMC
2016-02-01,GOOG,AMC
2016-02-10,TSLA,AMC
2016-02-17,NVDA,AMC
2016-02-27,BRK-B,BMO
2016-03-03,AVGO,AMC
2016-04-13,JPM,BMO
2016-04-21,GOOG,AMC
2016-04-21,MSFT,AMC
2016-04-26,AAPL,AMC
2016-04-27,META,AMC
2016-04-28,AMZN,AMC
2016-05-04,TSLA,AMC
2016-05-06,BRK-B,AMC
2016-05-12,NVDA,AMC
2016-06-02,AVGO,AMC
2016-07-14,JPM,BMO
2016-07-19,MSFT,AMC
2016-07-26,AAPL,AMC
2016-07-27,META,AMC
2016-07-28,AMZN,AMC
2016-07-28,GOOG,AMC
2016-08-03,TSLA,AMC
2016-08-05,BRK-B,AMC
2016-08-11,NVDA,AMC
2016-09-01,AVGO,AMC
2016-10-14,JPM,BMO
2016-10-20,MSFT,AMC
2016-10-25,AAPL,AMC
2016-10-26,TSLA,AMC
2016-10-27,GOOG,AMC
2016-10-27,AMZN,AMC
2016-11-02,META,AMC
2016-11-04,BRK-B,AMC
2016-11-10,NVDA,AMC
2016-12-08,AVGO,AMC
2017-01-13,JPM,BMO
2017-01-26,GOOG,AMC
2017-01-26,MSFT,AMC
2017-01-31,AAPL,AMC
2017-02-01,META,AMC
2017-02-02,AMZN,AMC
2017-02-09,NVDA,AMC
2017-02-22,TSLA,AMC
2017-02-25,BRK-B,BMO
2017-03-01,AVGO,AMC
2017-04-13,JPM,BMO
2017-04-27,GOOG,AMC
2017-04-27,AMZN,AMC
2017-04-27,MSFT,AMC
2017-05-02,AAPL,AMC
2017-05-03,TSLA,AMC
2017-05-04,META,AMC
2017-05-05,BRK-B,AMC
2017-05-09,NVDA,AMC
2017-06-01,AVGO,AMC
2017-07-14,JPM,BMO
2017-07-20,MSFT,AMC
2017-07-24,GOOG,AMC
2017-07-26,META,AMC
2017-07-27,AMZN,AMC
2017-08-01,AAPL,AMC
2017-08-02,TSLA,AMC
2017-08-04,BRK-B,AMC
2017-08-10,NVDA,AMC
2017-08-24,AVGO,AMC
2017-10-12,JPM,BMO
2017-10-26,MSFT,AMC
2017-10-26,AMZN,AMC
2017-10-26,GOOG,AMC
2017-11-01,TSLA,AMC
2017-11-01,META,AMC
2017-11-02,AAPL,AMC
2017-11-03,BRK-B,AMC
2017-11-09,NVDA,AMC
2017-12-06,AVGO,AMC
2018-01-12,JPM,BMO
2018-01-31,MSFT,AMC
2018-01-31,META,AMC
2018-02-01,AMZN,AMC
2018-02-01,GOOG,AMC
2018-02-01,AAPL,AMC
2018-02-07,TSLA,AMC
2018-02-08,NVDA,AMC
2018-02-24,BRK-B,BMO
2018-03-15,AVGO,AMC
2018-04-13,JPM,BMO
2018-04-23,GOOG,AMC
2018-04-25,META,AMC
2018-04-26,MSFT,AMC
2018-04-26,AMZN,AMC
2018-05-01,AAPL,AMC
2018-05-02,TSLA,AMC
2018-05-05,BRK-B,BMO
2018-05-10,NVDA,AMC
2018-06-07,AVGO,AMC
2018-07-13,JPM,BMO
2018-07-19,MSFT,AMC
2018-07-23,GOOG,AMC
2018-07-25,META,AMC
2018-07-26,AMZN,AMC
2018-07-31,AAPL,AMC
2018-08-01,TSLA,AMC
2018-08-04,BRK-B,BMO
2018-08-16,NVDA,AMC
2018-09-06,AVGO,AMC
2018-10-12,JPM,BMO
2018-10-24,TSLA,AMC
2018-10-24,MSFT,AMC
2018-10-25,GOOG,AMC
2018-10-25,AMZN,AMC
2018-10-30,META,AMC
2018-11-01,AAPL,AMC
2018-11-03,BRK-B,BMO
2018-11-15,NVDA,AMC
2018-12-06,AVGO,AMC
2019-01-15,JPM,BMO
2019-01-29,AAPL,AMC
2019-01-30,TSLA,AMC
2019-01-30,MSFT,AMC
2019-01-30,META,AMC
2019-01-31,AMZN,AMC
2019-02-04,GOOG,AMC
2019-02-14,NVDA,AMC
2019-02-23,BRK-B,BMO
2019-03-14,AVGO,AMC
2019-04-12,JPM,BMO
2019-04-24,META,AMC
2019-04-24,TSLA,AMC
2019-04-24,MSFT,AMC
2019-04-25,AMZN,AMC
2019-04-29,GOOG,AMC
2019-04-30,AAPL,AMC
2019-05-04,BRK-B,BMO
2019-05-16,NVDA,AMC
2019-06-13,AVGO,AMC
2019-07-16,JPM,BMO
2019-07-18,MSFT,AMC
2019-07-24,TSLA,AMC
2019-07-24,META,AMC
2019-07-25,GOOG,AMC
2019-07-25,AMZN,AMC
2019-07-30,AAPL,AMC
2019-08-03,BRK-B,BMO
2019-08-15,NVDA,AMC
2019-09-12,AVGO,AMC
2019-10-15,JPM,BMO
2019-10-23,MSFT,AMC
2019-10-23,TSLA,AMC
2019-10-24,AMZN,AMC
2019-10-28,GOOG,AMC
2019-10-30,AAPL,AMC
2019-10-30,META,AMC
2019-11-02,BRK-B,BMO
2019-11-14,NVDA,AMC
2019-12-12,AVGO,AMC
2020-01-14,JPM,BMO
2020-01-28,AAPL,AMC
2020-01-29,META,AMC
2020-01-29,TSLA,AMC
2020-01-29,MSFT,AMC
2020-01-30,AMZN,AMC
2020-02-03,GOOG,AMC
2020-02-13,NVDA,AMC
2020-02-22,BRK-B,BMO
2020-03-12,AVGO,AMC
2020-04-14,JPM,BMO
2020-04-28,GOOG,AMC
2020-04-29,MSFT,AMC
2020-04-29,TSLA,AMC
2020-04-29,META,AMC
2020-04-30,AMZN,AMC
2020-04-30,AAPL,AMC
2020-05-02,BRK-B,BMO
2020-05-21,NVDA,AMC
2020-06-04,AVGO,AMC
2020-07-14,JPM,BMO
2020-07-22,TSLA,AMC
2020-07-22,MSFT,AMC
2020-07-30,AAPL,AMC
2020-07-30,META,AMC
2020-07-30,AMZN,AMC
2020-07-30,GOOG,AMC
2020-08-08,BRK-B,BMO
2020-08-19,NVDA,AMC
2020-09-03,AVGO,AMC
2020-10-13,JPM,BMO
2020-10-21,TSLA,AMC
2020-10-27,MSFT,AMC
2020-10-29,AAPL,AMC
2020-10-29,GOOG,AMC
2020-10-29,META,AMC
2020-10-29,AMZN,AMC
2020-11-07,BRK-B,BMO
2020-11-18,NVDA,AMC
2020-12-10,AVGO,AMC
2021-01-15,JPM,BMO
2021-01-26,MSFT,AMC
2021-01-27,META,AMC
2021-01-27,TSLA,AMC
2021-01-27,AAPL,AMC
2021-02-02,AMZN,AMC
2021-02-02,GOOG,AMC
2021-02-24,NVDA,AMC
2021-02-27,BRK-B,BMO
2021-03-04,AVGO,AMC
2021-04-14,JPM,BMO
2021-04-26,TSLA,AMC
2021-04-27,GOOG,AMC
2021-04-27,MSFT,AMC
2021-04-28,META,AMC
2021-04-28,AAPL,AMC
2021-04-29,AMZN,AMC
2021-05-01,BRK-B,BMO
2021-05-26,NVDA,AMC
2021-06-03,AVGO,AMC
2021-07-13,JPM,BMO
2021-07-26,TSLA,AMC
2021-07-27,MSFT,AMC
2021-07-27,AAPL,AMC
2021-07-27,GOOG,AMC
2021-07-28,META,AMC
2021-07-29,AMZN,AMC
2021-08-07,BRK-B,BMO
2021-08-18,NVDA,AMC
2021-09-02,AVGO,AMC
2021-10-13,JPM,BMO
2021-10-20,TSLA,AMC
2021-10-25,META,AMC
2021-10-26,GOOG,AMC
2021-10-26,MSFT,AMC
2021-10-28,AMZN,AMC
2021-10-28,AAPL,AMC
2021-11-06,BRK-B,BMO
2021-11-17,NVDA,AMC
2021-12-09,AVGO,AMC
2022-01-14,JPM,BMO
2022-01-25,MSFT,AMC
2022-01-26,TSLA,AMC
2022-01-27,AAPL,AMC
2022-02-01,GOOG,AMC
2022-02-02,META,AMC
2022-02-03,AMZN,AMC
2022-02-16,NVDA,AMC
2022-02-26,BRK-B,BMO
2022-03-03,AVGO,AMC
2022-04-13,JPM,BMO
2022-04-20,TSLA,AMC
2022-04-26,MSFT,AMC
2022-04-26,GOOG,AMC
2022-04-27,META,AMC
2022-04-28,AMZN,AMC
2022-04-28,AAPL,AMC
2022-04-30,BRK-B,BMO
2022-05-25,NVDA,AMC
2022-05-26,AVGO,BMO
2022-07-14,JPM,BMO
2022-07-20,TSLA,AMC
2022-07-26,MSFT,AMC
2022-07-26,GOOG,AMC
2022-07-27,META,AMC
2022-07-28,AAPL,AMC
2022-07-28,AMZN,AMC
2022-08-06,BRK-B,BMO
2022-08-24,NVDA,AMC
2022-09-01,AVGO,AMC
2022-10-14,JPM,BMO
2022-10-19,TSLA,AMC
2022-10-25,GOOG,AMC
2022-10-25,MSFT,AMC
2022-10-26,META,AMC
2022-10-27,AAPL,AMC
2022-10-27,AMZN,AMC
2022-11-05,BRK-B,BMO
2022-11-16,NVDA,AMC
2022-12-08,AVGO,AMC
2023-01-13,JPM,BMO
2023-01-24,MSFT,AMC
2023-01-25,TSLA,AMC
2023-02-01,META,AMC
2023-02-02,GOOG,AMC
2023-02-02,AAPL,AMC
2023-02-02,AMZN,AMC
2023-02-22,NVDA,AMC
2023-02-25,BRK-B,BMO
2023-03-02,AVGO,AMC
2023-04-14,JPM,BMO
2023-04-19,TSLA,AMC
2023-04-25,GOOG,AMC
2023-04-25,MSFT,AMC
2023-04-26,META,AMC
2023-04-27,AMZN,AMC
2023-05-04,AAPL,AMC
2023-05-06,BRK-B,BMO
2023-05-24,NVDA,AMC
2023-06-01,AVGO,AMC
2023-07-14,JPM,BMO
2023-07-19,TSLA,AMC
2023-07-25,MSFT,AMC
2023-07-25,GOOG,AMC
2023-07-26,META,AMC
2023-08-03,AAPL,AMC
2023-08-03,AMZN,AMC
2023-08-05,BRK-B,BMO
2023-08-23,NVDA,AMC
2023-08-31,AVGO,AMC
2023-10-13,JPM,BMO
2023-10-18,TSLA,AMC
2023-10-24,GOOG,AMC
2023-10-24,MSFT,AMC
2023-10-25,META,AMC
2023-10-26,AMZN,AMC
2023-11-02,AAPL,AMC
2023-11-04,BRK-B,BMO
2023-11-21,NVDA,AMC
2023-12-07,AVGO,AMC
2024-01-12,JPM,BMO
2024-01-24,TSLA,AMC
2024-01-30,GOOG,AMC
2024-01-30,MSFT,AMC
2024-02-01,META,AMC
2024-02-01,AAPL,AMC
2024-02-01,AMZN,AMC
2024-02-21,NVDA,AMC
2024-02-24,BRK-B,BMO
2024-03-07,AVGO,AMC
2024-04-12,JPM,BMO
2024-04-23,TSLA,AMC
2024-04-24,META,AMC
2024-04-25,GOOG,AMC
2024-04-25,MSFT,AMC
2024-04-30,AMZN,AMC
2024-05-02,AAPL,AMC
2024-05-04,BRK-B,BMO
2024-05-22,NVDA,AMC
2024-06-12,AVGO,AMC
2024-07-12,JPM,BMO
2024-07-23,GOOG,AMC
2024-07-23,TSLA,AMC
2024-07-30,MSFT,AMC
2024-07-31,META,AMC
2024-08-01,AAPL,AMC
2024-08-01,AMZN,AMC
2024-08-03,BRK-B,BMO
2024-08-28,NVDA,AMC
2024-09-05,AVGO,AMC
2024-10-11,JPM,BMO
2024-10-23,TSLA,AMC
2024-10-29,GOOG,AMC
2024-10-30,META,AMC
2024-10-30,MSFT,AMC
2024-10-31,AAPL,AMC
2024-10-31,AMZN,AMC
2024-11-02,BRK-B,BMO
2024-11-20,NVDA,AMC
2024-12-12,AVGO,AMC
2025-01-15,JPM,BMO
2025-01-29,MSFT,AMC
2025-01-29,META,AMC
2025-01-29,TSLA,AMC
2025-01-30,AAPL,AMC
2025-02-04,GOOG,AMC
2025-02-06,AMZN,AMC
2025-02-22,BRK-B,BMO
2025-02-26,NVDA,AMC
2025-03-06,AVGO,AMC
2025-04-11,JPM,BMO
2025-04-22,TSLA,AMC
2025-04-24,GOOG,AMC
2025-04-30,META,AMC
2025-04-30,MSFT,AMC
2025-05-01,AMZN,AMC
2025-05-01,AAPL,AMC
2025-05-03,BRK-B,BMO
2025-05-28,NVDA,AMC
2025-06-05,AVGO,AMC
2025-07-15,JPM,BMO
2025-07-23,GOOG,AMC
2025-07-23,TSLA,AMC
2025-07-30,MSFT,AMC
2025-07-30,META,AMC
2025-07-31,AMZN,AMC
2025-07-31,AAPL,AMC
2025-08-02,BRK-B,BMO
2025-08-27,NVDA,AMC
2025-09-04,AVGO,AMC
2025-10-14,JPM,BMO
2025-10-22,TSLA,AMC
2025-10-29,MSFT,AMC
2025-10-29,META,AMC
2025-10-29,GOOG,AMC
2025-10-30,AAPL,AMC
2025-10-30,AMZN,AMC
2025-11-01,BRK-B,BMO
2025-11-19,NVDA,AMC
2025-12-11,AVGO,AMC
2026-01-13,JPM,BMO
2026-01-28,TSLA,AMC
2026-01-28,META,AMC
2026-01-28,MSFT,AMC
2026-01-29,AAPL,AMC
2026-02-04,GOOG,AMC
2026-02-05,AMZN,AMC
2026-02-25,NVDA,AMC
2026-02-28,BRK-B,BMO
2026-03-04,AVGO,AMC
2026-04-14,JPM,BMO
2026-04-22,TSLA,AMC
2026-04-29,GOOG,AMC
2026-04-29,META,AMC
2026-04-29,AMZN,AMC
2026-04-29,MSFT,AMC
2026-04-30,AAPL,AMC
2026-05-02,BRK-B,AMC
2026-05-20,NVDA,AMC
2026-06-03,AVGO,AMC
2026-07-14,JPM,BMO
